"","District","Taluka","Month","Normal Rain","Actual Rain","Rainy Days","Year"
"1","Thane","Thane","January",2.3,NA,NA,2011
"2","Thane","Thane","February",1,NA,NA,2011
"3","Thane","Thane","March",1.1,NA,NA,2011
"4","Thane","Thane","April",1.7,NA,NA,2011
"5","Thane","Thane","May",21.4,0,0,2011
"6","Thane","Thane","June",534.8,578,25,2011
"7","Thane","Thane","July",961.6,1334,27,2011
"8","Thane","Thane","August",637.2,958.8,29,2011
"9","Thane","Thane","September",334.4,226.8,15,2011
"10","Thane","Thane","October",101.1,87,5,2011
"11","Thane","Thane","November",15.1,NA,NA,2011
"12","Thane","Thane","December",2.4,NA,NA,2011
"13","Thane","Kalyan","January",1.7,NA,NA,2011
"14","Thane","Kalyan","February",1.2,NA,NA,2011
"15","Thane","Kalyan","March",0.4,NA,NA,2011
"16","Thane","Kalyan","April",1.3,NA,NA,2011
"17","Thane","Kalyan","May",13.2,0,0,2011
"18","Thane","Kalyan","June",476.8,455,16,2011
"19","Thane","Kalyan","July",1023.4,1111.8,24,2011
"20","Thane","Kalyan","August",652.7,950,30,2011
"21","Thane","Kalyan","September",301.7,324,16,2011
"22","Thane","Kalyan","October",90.6,69,4,2011
"23","Thane","Kalyan","November",16.3,NA,NA,2011
"24","Thane","Kalyan","December",2.8,NA,NA,2011
"25","Thane","Murbad","January",2.1,NA,NA,2011
"26","Thane","Murbad","February",0.8,NA,NA,2011
"27","Thane","Murbad","March",0.9,NA,NA,2011
"28","Thane","Murbad","April",3.5,NA,NA,2011
"29","Thane","Murbad","May",17.8,0,0,2011
"30","Thane","Murbad","June",378.3,488.4,20,2011
"31","Thane","Murbad","July",968.9,961.5,22,2011
"32","Thane","Murbad","August",634.3,804.6,30,2011
"33","Thane","Murbad","September",347.1,416.7,14,2011
"34","Thane","Murbad","October",103.2,99.6,5,2011
"35","Thane","Murbad","November",20.3,NA,NA,2011
"36","Thane","Murbad","December",3.2,NA,NA,2011
"37","Thane","Bhivandi","January",2.6,NA,NA,2011
"38","Thane","Bhivandi","February",1.2,NA,NA,2011
"39","Thane","Bhivandi","March",0.9,NA,NA,2011
"40","Thane","Bhivandi","April",1.4,NA,NA,2011
"41","Thane","Bhivandi","May",18.7,0,0,2011
"42","Thane","Bhivandi","June",471.7,365.2,18,2011
"43","Thane","Bhivandi","July",965.8,1141.6,25,2011
"44","Thane","Bhivandi","August",646.4,904,31,2011
"45","Thane","Bhivandi","September",337.6,360,17,2011
"46","Thane","Bhivandi","October",94.8,138.3,6,2011
"47","Thane","Bhivandi","November",10.7,NA,NA,2011
"48","Thane","Bhivandi","December",2.3,NA,NA,2011
"49","Thane","Shahapur","January",2.5,NA,NA,2011
"50","Thane","Shahapur","February",1,NA,NA,2011
"51","Thane","Shahapur","March",1.9,NA,NA,2011
"52","Thane","Shahapur","April",1.7,NA,NA,2011
"53","Thane","Shahapur","May",18.2,0,0,2011
"54","Thane","Shahapur","June",412.7,397,21,2011
"55","Thane","Shahapur","July",1102.4,893.6,25,2011
"56","Thane","Shahapur","August",703.2,996,28,2011
"57","Thane","Shahapur","September",338.1,409,16,2011
"58","Thane","Shahapur","October",95.2,92,5,2011
"59","Thane","Shahapur","November",15.8,NA,NA,2011
"60","Thane","Shahapur","December",2.9,NA,NA,2011
"61","Thane","Ulhasnagar","January",1.7,NA,NA,2011
"62","Thane","Ulhasnagar","February",1.2,NA,NA,2011
"63","Thane","Ulhasnagar","March",0.4,NA,NA,2011
"64","Thane","Ulhasnagar","April",1.3,NA,NA,2011
"65","Thane","Ulhasnagar","May",13.2,0,0,2011
"66","Thane","Ulhasnagar","June",457,460.3,16,2011
"67","Thane","Ulhasnagar","July",1001.4,1113,22,2011
"68","Thane","Ulhasnagar","August",604.3,877,29,2011
"69","Thane","Ulhasnagar","September",301.9,357,14,2011
"70","Thane","Ulhasnagar","October",90.6,75.6,5,2011
"71","Thane","Ulhasnagar","November",16.3,NA,NA,2011
"72","Thane","Ulhasnagar","December",2.8,NA,NA,2011
"73","Thane","Ambarnath","January",1.7,NA,NA,2011
